benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-cav19/array_doub_access_init_const.yml,cbmc_default,mo,0,0,0,0,0,175.0,15000.0
array-cav19/array_doub_access_init_const.yml,esbmc_default,to,0,0,0,0,0,900.2,788.0
array-cav19/array_doub_access_init_const.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,529.8
array-cav19/array_doub_access_init_const.yml,uautomizer_default,to,0,0,0,0,0,900.7,615.2
array-cav19/array_init_both_ends_multiple_sum.yml,cbmc_default,mo,0,0,0,0,0,112.1,15000.0
array-cav19/array_init_both_ends_multiple_sum.yml,esbmc_default,to,0,0,0,0,0,900.2,1397.7
array-cav19/array_init_both_ends_multiple_sum.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.1,1434.6
array-cav19/array_init_both_ends_multiple_sum.yml,uautomizer_default,to,0,0,0,0,0,901.0,1028.8
array-cav19/array_init_pair_sum_const.yml,cbmc_default,mo,0,0,0,0,0,145.6,15000.0
array-cav19/array_init_pair_sum_const.yml,esbmc_default,to,0,0,0,0,0,900.3,830.6
array-cav19/array_init_pair_sum_const.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.8,591.1
array-cav19/array_init_pair_sum_const.yml,uautomizer_default,to,0,0,0,0,0,900.7,956.4
array-cav19/array_init_pair_symmetr.yml,cbmc_default,ee,0,0,0,0,0,229.3,14926.0
array-cav19/array_init_pair_symmetr.yml,esbmc_default,to,0,0,0,0,0,900.9,404.5
array-cav19/array_init_pair_symmetr.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.3,1278.9
array-cav19/array_init_pair_symmetr.yml,uautomizer_default,to,0,0,0,0,0,900.7,640.0
array-cav19/array_init_pair_symmetr2.yml,cbmc_default,ee,0,0,0,0,0,349.4,14972.6
array-cav19/array_init_pair_symmetr2.yml,esbmc_default,to,0,0,0,0,0,900.9,315.9
array-cav19/array_init_pair_symmetr2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,1474.7
